frac_a,frac_b,p_raw,p_bonferroni,effect_r,significant
0.0,0.1,1.0,1.0,0.0,False
0.0,0.2,1.0,1.0,0.0,False
0.0,0.3,1.0,1.0,0.0,False
0.0,0.4,1.0,1.0,0.0,False
0.0,0.5,1.0,1.0,0.0,False
0.0,0.6,1.0,1.0,0.0,False
0.0,0.7,1.0,1.0,0.0,False
0.0,0.8,1.0,1.0,0.0,False
0.1,0.2,1.0,1.0,0.0,False
0.1,0.3,1.0,1.0,0.0,False
0.1,0.4,1.0,1.0,0.0,False
0.1,0.5,1.0,1.0,0.0,False
0.1,0.6,1.0,1.0,0.0,False
0.1,0.7,1.0,1.0,0.0,False
0.1,0.8,1.0,1.0,0.0,False
0.2,0.3,1.0,1.0,0.0,False
0.2,0.4,1.0,1.0,0.0,False
0.2,0.5,1.0,1.0,0.0,False
0.2,0.6,1.0,1.0,0.0,False
0.2,0.7,1.0,1.0,0.0,False
0.2,0.8,1.0,1.0,0.0,False
0.3,0.4,1.0,1.0,0.0,False
0.3,0.5,1.0,1.0,0.0,False
0.3,0.6,1.0,1.0,0.0,False
0.3,0.7,1.0,1.0,0.0,False
0.3,0.8,1.0,1.0,0.0,False
0.4,0.5,1.0,1.0,0.0,False
0.4,0.6,1.0,1.0,0.0,False
0.4,0.7,1.0,1.0,0.0,False
0.4,0.8,1.0,1.0,0.0,False
0.5,0.6,1.0,1.0,0.0,False
0.5,0.7,1.0,1.0,0.0,False
0.5,0.8,1.0,1.0,0.0,False
0.6,0.7,1.0,1.0,0.0,False
0.6,0.8,1.0,1.0,0.0,False
0.7,0.8,1.0,1.0,0.0,False
